[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Creaste este grupo.
‎[25/3/25, 10:06:23 a. m.] Achu: 105844183715.pdf • ‎1 página ‎<adjunto: 00000026-105844183715.pdf>
[25/3/25, 10:54:10 a. m.] Facu: Tarjeta $1.100.000
Facu $1.000.000
‎[25/3/25, 11:06:41 a. m.] Facu: Auth_Download_Voucher_5065625.pdf • ‎1 página ‎<adjunto: 00000028-Auth_Download_Voucher_5065625.pdf>
‎[25/3/25, 11:07:30 a. m.] Facu: Auth_Download_Voucher_5065595.pdf • ‎1 página ‎<adjunto: 00000029-Auth_Download_Voucher_5065595.pdf>
[25/3/25, 11:07:38 a. m.] Facu: pagos perla y palo
‎[25/3/25, 3:40:45 p. m.] Facu: ‎<adjunto: 00000031-PHOTO-2025-03-25-15-40-45.jpg>
[25/3/25, 3:40:45 p. m.] Facu: Agus catálogos
‎[26/3/25, 10:32:25 a. m.] Facu: ‎<adjunto: 00000033-PHOTO-2025-03-26-10-32-25.jpg>
[26/3/25, 10:32:25 a. m.] Facu: Shit Happens al santander
‎[26/3/25, 10:52:36 a. m.] Facu: mercadopago_comprobante_105950318597.pdf • ‎1 página ‎<adjunto: 00000035-mercadopago_comprobante_105950318597.pdf>
[26/3/25, 10:52:36 a. m.] Facu: Seña hund plastisoles
‎[26/3/25, 3:46:11 p. m.] Facu: 250326 milito.pdf • ‎1 página ‎<adjunto: 00000037-250326 milito.pdf>
[26/3/25, 3:46:11 p. m.] Facu: Pago nos unimos
‎[26/3/25, 4:28:15 p. m.] Facu: Pago Hitz
Qué número le pongo? ‎<adjunto: 00000039-PHOTO-2025-03-26-16-28-15.jpg>
[26/3/25, 4:29:02 p. m.] Guido Avios: 1804 y 1805
[27/3/25, 9:12:33 a. m.] Guido Avios: 263.500 pago revista en efectivo
[27/3/25, 9:12:37 a. m.] Guido Avios: 500.000 a carvi en efectivo
‎[27/3/25, 11:04:25 a. m.] Facu: ‎<adjunto: 00000043-PHOTO-2025-03-27-11-04-25.jpg>
[27/3/25, 11:04:25 a. m.] Facu: Seña fleming. Voltio
‎[27/3/25, 11:04:52 a. m.] Facu: ‎<adjunto: 00000045-PHOTO-2025-03-27-11-04-52.jpg>
‎[27/3/25, 11:04:52 a. m.] Facu: ‎<adjunto: 00000046-PHOTO-2025-03-27-11-04-52.jpg>
‎[27/3/25, 11:04:52 a. m.] Facu: ‎<adjunto: 00000047-PHOTO-2025-03-27-11-04-52.jpg>
[27/3/25, 11:04:52 a. m.] Facu: Van  total 270900
‎[27/3/25, 11:04:52 a. m.] Facu: ‎<adjunto: 00000049-PHOTO-2025-03-27-11-04-52.jpg>
[27/3/25, 11:04:56 a. m.] Facu: Pagos shit happens
‎[27/3/25, 11:54:10 a. m.] Facu: ‎<adjunto: 00000051-PHOTO-2025-03-27-11-54-10.jpg>
[27/3/25, 11:54:10 a. m.] Facu: Pago shit happens
‎[27/3/25, 12:44:01 p. m.] Facu: ‎<adjunto: 00000053-PHOTO-2025-03-27-12-44-01.jpg>
[27/3/25, 12:44:01 p. m.] Facu: Pago shit happens
Me decis el estado de cuenta
[27/3/25, 1:54:08 p. m.] Guido Avios: -$1.897.979,00
[27/3/25, 1:54:24 p. m.] Guido Avios: Hay un pedido que le entregamos a Shit Happens y no tiene el precio subido
[27/3/25, 1:54:33 p. m.] Guido Avios: PEDIDOAVTX278744 en entregas
[27/3/25, 1:55:30 p. m.] Achu: Es el pedido que está wn el depo que al final no lo quisieron, no tiene precio para que vaya a la cta prov pero no a la del cliente
[27/3/25, 1:55:53 p. m.] Guido Avios: Ok!!
‎[27/3/25, 2:46:57 p. m.] Achu: Pago Buenos Hijos + $29.200 en efectivo ‎<adjunto: 00000060-PHOTO-2025-03-27-14-46-57.jpg>
‎[27/3/25, 2:47:56 p. m.] Achu: Pagos Manki ‎<adjunto: 00000061-PHOTO-2025-03-27-14-47-56.jpg>
‎[27/3/25, 3:16:59 p. m.] Facu: ‎<adjunto: 00000062-PHOTO-2025-03-27-15-16-59.jpg>
[27/3/25, 3:16:59 p. m.] Facu: Seguros emite
[27/3/25, 4:43:06 p. m.] Guido Avios: 7200 en efectivo a mati
‎[28/3/25, 12:33:42 p. m.] Guido Avios: ‎<adjunto: 00000065-PHOTO-2025-03-28-12-33-42.jpg>
[28/3/25, 12:33:43 p. m.] Guido Avios: Pago de seña de marca Palili a Braian
‎[28/3/25, 12:37:51 p. m.] Achu: Pago Fingers Crossed ‎<adjunto: 00000067-PHOTO-2025-03-28-12-37-51.jpg>
[28/3/25, 12:42:15 p. m.] Achu: $175.500 en efvo a Starpack
$294.000 en efvo a Precinter
‎[28/3/25, 1:07:06 p. m.] Facu: ‎<adjunto: 00000069-PHOTO-2025-03-28-13-07-06.jpg>
[28/3/25, 1:07:06 p. m.] Facu: Mati
‎[28/3/25, 1:09:01 p. m.] Facu: ‎<adjunto: 00000071-PHOTO-2025-03-28-13-09-01.jpg>
[28/3/25, 1:09:01 p. m.] Facu: Bruno
‎[28/3/25, 1:09:09 p. m.] Facu: ‎<adjunto: 00000073-PHOTO-2025-03-28-13-09-09.jpg>
[28/3/25, 1:09:09 p. m.] Facu: Achu
‎[28/3/25, 1:09:50 p. m.] Facu: Auth_Download_Voucher_5113528.pdf • ‎1 página ‎<adjunto: 00000075-Auth_Download_Voucher_5113528.pdf>
[28/3/25, 1:09:50 p. m.] Facu: palo
‎[28/3/25, 1:11:06 p. m.] Facu: ‎<adjunto: 00000077-PHOTO-2025-03-28-13-11-06.jpg>
[28/3/25, 1:11:06 p. m.] Facu: Mile
‎[28/3/25, 1:12:19 p. m.] Facu: ‎<adjunto: 00000079-PHOTO-2025-03-28-13-12-19.jpg>
[28/3/25, 1:12:19 p. m.] Facu: Caiu
‎[28/3/25, 2:39:41 p. m.] Guido Avios: ‎<adjunto: 00000081-PHOTO-2025-03-28-14-39-41.jpg>
[28/3/25, 2:39:42 p. m.] Guido Avios: Seña de Grupo Bisonte a Nico Badanas
‎[28/3/25, 2:43:17 p. m.] Guido Avios: ‎<adjunto: 00000083-PHOTO-2025-03-28-14-43-17.jpg>
[28/3/25, 2:43:18 p. m.] Guido Avios: Seña de Florencia nuñez a Braian
‎[28/3/25, 3:56:59 p. m.] Facu: ‎<adjunto: 00000085-PHOTO-2025-03-28-15-56-59.jpg>
[28/3/25, 4:10:54 p. m.] Facu: te salio pedido fyer   saldo $ 147.000
[28/3/25, 4:10:59 p. m.] Facu: Arslanian
[28/3/25, 4:17:24 p. m.] Facu: Mando x aca ya que estan ambos, lunes acuario entrega shit happens a la tarde
El circuito deberia ser que Achu le escriba para coordinar horario ya que lo va a estar cortando y que Palo le escriba mas cerca de la tarde para que me pase cantidades y cuenta corriente
[28/3/25, 4:17:57 p. m.] Guido Avios: Sí, perfecto.
‎[31/3/25, 9:11:07 a. m.] Achu: Pago Cesco a Nico Badanas ‎<adjunto: 00000090-PHOTO-2025-03-31-09-11-07.jpg>
‎[31/3/25, 10:43:56 a. m.] Achu: ‎<adjunto: 00000091-PHOTO-2025-03-31-10-43-56.jpg>
‎[31/3/25, 10:43:56 a. m.] Achu: ‎<adjunto: 00000092-PHOTO-2025-03-31-10-43-56.jpg>
[31/3/25, 10:44:04 a. m.] Achu: Seña Simplifity
‎[31/3/25, 12:05:06 p. m.] Facu: 96DB2130-8486-4F21-94A3-13C43667C07A.pdf • ‎1 página ‎<adjunto: 00000094-96DB2130-8486-4F21-94A3-13C43667C07A.pdf>
[31/3/25, 12:05:06 p. m.] Facu: Seña fyer
[31/3/25, 12:05:26 p. m.] Facu: Hay que hacer fca
[31/3/25, 12:05:28 p. m.] Facu: Fecha 27 de mar9
[31/3/25, 2:19:34 p. m.] Achu: Todo entregado Axel ! Te dejo alias : FOXMAYER , Banco provincia , Andrés Gustavo Mayer . $17.000
‎[31/3/25, 2:29:42 p. m.] Facu: Nos entro este echeq. @⁨Guido Avios⁩ desp te digo como ingresar el ingreso a caja ‎<adjunto: 00000099-PHOTO-2025-03-31-14-29-42.jpg>
[31/3/25, 2:32:06 p. m.] Guido Avios: Dale
[31/3/25, 2:32:58 p. m.] Facu: Facu podremos preparar hoy un pago de 157.300 para retirar Arslanian?
[31/3/25, 2:33:12 p. m.] Facu: Ahora saco un chq y lo llevamos y retiramos mañana
[31/3/25, 2:40:34 p. m.] Facu: @⁨Guido Avios⁩ ahora te exploco estoi
[31/3/25, 2:42:30 p. m.] Guido Avios: Dale
[31/3/25, 3:15:31 p. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[31/3/25, 6:43:22 p. m.] Facu: Caro ‎<adjunto: 00000106-PHOTO-2025-03-31-18-43-22.jpg>
[31/3/25, 6:50:25 p. m.] Achu: Porfi cuando puedan esto, que me está reclamando
[31/3/25, 6:57:05 p. m.] Facu: Voyyy
‎[31/3/25, 6:57:49 p. m.] Facu: Moto ‎<adjunto: 00000109-PHOTO-2025-03-31-18-57-49.jpg>
‎[1/4/25, 9:17:22 a. m.] Facu: ‎<adjunto: 00000110-PHOTO-2025-04-01-09-17-22.jpg>
‎[1/4/25, 9:21:53 a. m.] Guido Avios: Cheques 1803 1807 y 1809 para Kirplastik ‎<adjunto: 00000111-PHOTO-2025-04-01-09-21-53.jpg>
‎[1/4/25, 10:30:36 a. m.] Facu: Mati ‎<adjunto: 00000112-PHOTO-2025-04-01-10-30-36.jpg>
‎[1/4/25, 10:50:49 a. m.] Guido Avios: ‎<adjunto: 00000113-PHOTO-2025-04-01-10-50-49.jpg>
[1/4/25, 10:50:49 a. m.] Guido Avios: pago remeras avios
[1/4/25, 5:47:52 p. m.] Achu: 63 sería
[1/4/25, 5:48:00 p. m.] Achu: Diego fletes
‎[3/4/25, 1:02:29 p. m.] Facu: ‎<adjunto: 00000117-PHOTO-2025-04-03-13-02-29.jpg>
[4/4/25, 11:01:11 a. m.] Achu: 65k en efvo a Arslanian
‎[4/4/25, 1:35:45 p. m.] Facu: Diego flete ‎<adjunto: 00000119-PHOTO-2025-04-04-13-35-45.jpg>
‎[4/4/25, 3:04:32 p. m.] Guido Avios: Mercería Mile ‎<adjunto: 00000120-PHOTO-2025-04-04-15-04-32.jpg>
‎[4/4/25, 3:27:39 p. m.] Guido Avios: mercadopago_comprobante_107331940978.pdf • ‎1 página ‎<adjunto: 00000121-mercadopago_comprobante_107331940978.pdf>
‎[4/4/25, 5:04:53 p. m.] Facu: Comprobante_Endoso_ECheq.pdf • ‎1 página ‎<adjunto: 00000122-Comprobante_Endoso_ECheq.pdf>
[4/4/25, 5:04:53 p. m.] Facu: Echeq a emitex
‎[4/4/25, 5:05:56 p. m.] Facu: Mati ‎<adjunto: 00000124-PHOTO-2025-04-04-17-05-56.jpg>
[4/4/25, 5:07:55 p. m.] Guido Avios: 1778 cheque avios
‎[4/4/25, 5:09:56 p. m.] Guido Avios: ‎<adjunto: 00000126-PHOTO-2025-04-04-17-09-56.jpg>
[4/4/25, 5:09:56 p. m.] Guido Avios: Pago de paneles y último catalogo
[4/4/25, 5:10:21 p. m.] Facu: Perf
‎[4/4/25, 5:20:10 p. m.] Guido Avios: mercadopago_comprobante_106916626849.pdf • ‎1 página ‎<adjunto: 00000129-mercadopago_comprobante_106916626849.pdf>
[4/4/25, 5:20:13 p. m.] Guido Avios: Nafta
‎[7/4/25, 10:52:00 a. m.] Guido Avios: mercadopago_comprobante_107182922759.pdf • ‎1 página ‎<adjunto: 00000131-mercadopago_comprobante_107182922759.pdf>
[7/4/25, 10:52:02 a. m.] Guido Avios: Pago polimeros
‎[7/4/25, 12:04:00 p. m.] Facu: ‎<adjunto: 00000133-PHOTO-2025-04-07-12-04-00.jpg>
[7/4/25, 12:04:00 p. m.] Facu: Bolsas avios
‎[7/4/25, 12:38:50 p. m.] Facu: ‎<adjunto: 00000135-PHOTO-2025-04-07-12-38-50.jpg>
‎[7/4/25, 2:46:56 p. m.] Guido Avios: mercadopago_comprobante_107208821063.pdf • ‎1 página ‎<adjunto: 00000136-mercadopago_comprobante_107208821063.pdf>
[7/4/25, 2:46:57 p. m.] Guido Avios: Saldado el sueldo de Marzo Caiu
‎[7/4/25, 3:17:23 p. m.] Guido Avios: mercadopago_comprobante_107211515601.pdf • ‎1 página ‎<adjunto: 00000138-mercadopago_comprobante_107211515601.pdf>
‎[7/4/25, 3:35:43 p. m.] Guido Avios: ‎<adjunto: 00000139-PHOTO-2025-04-07-15-35-43.jpg>
[7/4/25, 3:35:43 p. m.] Guido Avios: Cinta Emitex
‎[7/4/25, 3:36:10 p. m.] Guido Avios: ‎<adjunto: 00000141-PHOTO-2025-04-07-15-36-10.jpg>
[7/4/25, 3:36:10 p. m.] Guido Avios: Tanza
[8/4/25, 11:18:26 a. m.] Facu: Kirplastic
185k efectivo ( controlar)
Chq 1806 y 1804 ( controlar que sea el 4 dude con un 9)
[8/4/25, 11:18:51 a. m.] Facu: Markplast
Chq 1796 1808 1810
[8/4/25, 2:32:30 p. m.] Guido Avios: ‎Se eliminó este mensaje.
[8/4/25, 2:37:35 p. m.] Guido Avios: Hablé con Nico y el de mayo no lo toma
[8/4/25, 2:39:56 p. m.] Guido Avios: Solamente 1806 a Kirplastic y el efectivo
[8/4/25, 4:11:34 p. m.] Guido Avios: 1.000.000 pago a Carvi en efectivo
‎[9/4/25, 9:18:28 a. m.] Facu: Pago a emitex x stan ‎<adjunto: 00000149-PHOTO-2025-04-09-09-18-28.jpg>
[10/4/25, 9:19:42 a. m.] Guido Avios: 153.000 pago bidones
‎[10/4/25, 12:01:13 p. m.] Facu: FA-A-0002-00012453.pdf • ‎1 página ‎<adjunto: 00000151-FA-A-0002-00012453.pdf>
[10/4/25, 12:01:20 p. m.] Facu: Fca natalfilm( diego)
[10/4/25, 12:01:35 p. m.] Facu: +54 9 11 3697‑4840‬
Gabriela
[10/4/25, 12:01:42 p. m.] Facu: @⁨Guido Avios⁩ le pedis datos e ingresas como proveedor al sistema
[10/4/25, 12:01:49 p. m.] Facu: Es quien hizo las bolsas de hund (rocio veres)
[10/4/25, 12:01:57 p. m.] Facu: Que tambien ya podes facturar y bla
[10/4/25, 12:05:29 p. m.] Guido Avios: Dale
[11/4/25, 1:14:38 p. m.] Achu: $220.000 a Printmax
‎[14/4/25, 4:57:33 p. m.] Guido Avios: Pago Moto ‎<adjunto: 00000159-PHOTO-2025-04-14-16-57-33.jpg>
‎[14/4/25, 6:11:29 p. m.] Facu: Echeqs a natal film. Enviárselos a la admin de ellos ‎<adjunto: 00000160-PHOTO-2025-04-14-18-11-29.jpg>
‎[14/4/25, 6:11:30 p. m.] Facu: ‎<adjunto: 00000161-PHOTO-2025-04-14-18-11-30.jpg>
‎[14/4/25, 6:11:30 p. m.] Facu: ‎<adjunto: 00000162-PHOTO-2025-04-14-18-11-30.jpg>
‎[14/4/25, 6:11:34 p. m.] Facu: Comprobante_Endoso_ECheq.pdf • ‎1 página ‎<adjunto: 00000163-Comprobante_Endoso_ECheq.pdf>
‎[14/4/25, 6:19:33 p. m.] Facu: Moto ‎<adjunto: 00000164-PHOTO-2025-04-14-18-19-33.jpg>
‎[14/4/25, 6:21:13 p. m.] Facu: Agus marzo ‎<adjunto: 00000165-PHOTO-2025-04-14-18-21-13.jpg>
‎[14/4/25, 6:22:15 p. m.] Facu: Guille parcial abril ‎<adjunto: 00000166-PHOTO-2025-04-14-18-22-15.jpg>
‎[14/4/25, 6:42:33 p. m.] Facu: ‎<adjunto: 00000167-PHOTO-2025-04-14-18-42-33.jpg>
[14/4/25, 6:42:33 p. m.] Facu: Este es uno de los cheques de Juanitas
Mañana cuando lo ingresas pone directo que va para chelo y lo busca mañana por la ofi 
Hacele recibo
‎[14/4/25, 6:48:13 p. m.] Facu: Captura de Pantalla 2025-04-14 a la(s) 18.17.01.png ‎<adjunto: 00000169-Captura de Pantalla 2025-04-14 a la(s) 18.17.01.png>
‎[14/4/25, 6:48:13 p. m.] Facu: Captura de Pantalla 2025-04-14 a la(s) 18.17.18.png ‎<adjunto: 00000170-Captura de Pantalla 2025-04-14 a la(s) 18.17.18.png>
[14/4/25, 6:48:20 p. m.] Facu: Le mande esos dos echeq a Chelo
‎[14/4/25, 6:54:10 p. m.] Facu: Finalmente este cheque va para soria ‎<adjunto: 00000172-PHOTO-2025-04-14-18-54-10.jpg>
‎[14/4/25, 6:54:27 p. m.] Facu: Y fijense que este que nos dio gaby no tiene numero ‎<adjunto: 00000173-PHOTO-2025-04-14-18-54-27.jpg>
‎[15/4/25, 11:57:26 a. m.] Facu: ‎<adjunto: 00000174-PHOTO-2025-04-15-11-57-26.jpg>
[15/4/25, 11:57:26 a. m.] Facu: Alquiler rojas
‎[15/4/25, 11:58:18 a. m.] Facu: Polimeros ‎<adjunto: 00000176-PHOTO-2025-04-15-11-58-18.jpg>
‎[15/4/25, 12:05:47 p. m.] Facu: Auth_Download_Voucher_5331501.pdf • ‎1 página ‎<adjunto: 00000177-Auth_Download_Voucher_5331501.pdf>
[15/4/25, 12:05:50 p. m.] Facu: transferencia a pablo
‎[15/4/25, 12:06:14 p. m.] Facu: Auth_Download_Voucher_5331484.pdf • ‎1 página ‎<adjunto: 00000179-Auth_Download_Voucher_5331484.pdf>
[15/4/25, 12:19:00 p. m.] Facu: 1814
[15/4/25, 12:19:08 p. m.] Facu: 1819
[15/4/25, 12:20:21 p. m.] Facu: Chq 1818 para acuario
‎[15/4/25, 2:37:42 p. m.] Facu: Auth_Download_Voucher_5335991.pdf • ‎1 página ‎<adjunto: 00000183-Auth_Download_Voucher_5335991.pdf>
[15/4/25, 3:34:32 p. m.] Facu: Catalogos mano de obra

‎[15/4/25, 3:34:32 p. m.] Facu: Auth_Download_Voucher_5337740.pdf • ‎1 página ‎<adjunto: 00000185-Auth_Download_Voucher_5337740.pdf>
‎[16/4/25, 5:01:24 p. m.] Facu: Auth_Download_Voucher_5359362.pdf • ‎1 página ‎<adjunto: 00000186-Auth_Download_Voucher_5359362.pdf>
‎[16/4/25, 5:01:46 p. m.] Facu: Auth_Download_Voucher_5359375.pdf • ‎1 página ‎<adjunto: 00000187-Auth_Download_Voucher_5359375.pdf>
[16/4/25, 5:01:47 p. m.] Facu: mati y perla
‎[16/4/25, 6:27:48 p. m.] Facu: ‎<adjunto: 00000189-PHOTO-2025-04-16-18-27-48.jpg>
‎[16/4/25, 6:28:49 p. m.] Facu: Mercedes ‎<adjunto: 00000190-PHOTO-2025-04-16-18-28-49.jpg>
‎[16/4/25, 6:29:39 p. m.] Facu: ‎<adjunto: 00000191-PHOTO-2025-04-16-18-29-39.jpg>
[16/4/25, 6:29:55 p. m.] Facu: Achu
[16/4/25, 6:29:57 p. m.] Facu: Mile
‎[16/4/25, 6:30:22 p. m.] Facu: Bruno ‎<adjunto: 00000194-PHOTO-2025-04-16-18-30-22.jpg>
‎[16/4/25, 6:30:57 p. m.] Facu: Facu ‎<adjunto: 00000195-PHOTO-2025-04-16-18-30-57.jpg>
‎[21/4/25, 9:53:59 a. m.] Facu: ‎<adjunto: 00000196-PHOTO-2025-04-21-09-53-59.jpg>
[21/4/25, 9:53:59 a. m.] Facu: Pago a chelo
[21/4/25, 1:57:48 p. m.] Achu: $85.000 en efvo a Printmax
[21/4/25, 3:12:31 p. m.] Facu: Amiguito tenes marcada la seña de mohamed
‎[21/4/25, 4:51:31 p. m.] Facu: 2025-04-21_ComprobantePago_21165123.pdf • ‎2 páginas ‎<adjunto: 00000200-2025-04-21_ComprobantePago_21165123.pdf>
‎[21/4/25, 5:27:46 p. m.] Achu: ‎<adjunto: 00000201-PHOTO-2025-04-21-17-27-46.jpg>
[21/4/25, 5:39:19 p. m.] Achu: Soprano pagó $1.725.000
Pagamos a Carvi $1.600.000

Todo en efvo
‎[21/4/25, 6:40:46 p. m.] Facu: Cargador ipad ‎<adjunto: 00000203-PHOTO-2025-04-21-18-40-46.jpg>
‎[21/4/25, 7:39:14 p. m.] Facu: 108659030473.pdf • ‎1 página ‎<adjunto: 00000204-108659030473.pdf>
[21/4/25, 7:39:14 p. m.] Facu: lcn a Mercedes

[21/4/25, 7:46:08 p. m.] Facu: Chq 1821 a Arslanian
‎[21/4/25, 7:46:16 p. m.] Facu: ‎<adjunto: 00000207-PHOTO-2025-04-21-19-46-16.jpg>
[21/4/25, 7:46:16 p. m.] Facu: Cheques a Chelo
[22/4/25, 1:22:25 p. m.] Facu: El del medio NO
‎[23/4/25, 4:49:54 p. m.] Facu: Pago ftl 1820 ‎<adjunto: 00000210-PHOTO-2025-04-23-16-49-54.jpg>
‎[24/4/25, 10:58:54 a. m.] Facu: Moto ‎<adjunto: 00000211-PHOTO-2025-04-24-10-58-54.jpg>
‎[24/4/25, 11:37:16 a. m.] Facu: Polimeros ‎<adjunto: 00000212-PHOTO-2025-04-24-11-37-16.jpg>
‎[24/4/25, 3:48:48 p. m.] Achu: Cheques a Markplast ‎<adjunto: 00000213-PHOTO-2025-04-24-15-48-48.jpg>
[24/4/25, 4:31:05 p. m.] Achu: $91.000 a Printmax en efectivo
‎[24/4/25, 5:28:46 p. m.] Facu: ‎<adjunto: 00000215-PHOTO-2025-04-24-17-28-46.jpg>
‎[25/4/25, 5:12:16 p. m.] Facu: ‎<adjunto: 00000216-PHOTO-2025-04-25-17-12-16.jpg>
[25/4/25, 5:12:16 p. m.] Facu: Flete
[28/4/25, 3:05:35 p. m.] Facu: $410.000 para carvi
[28/4/25, 3:05:46 p. m.] Facu: Chq 1814 + $500.000 en efvo para Nico
[30/4/25, 10:17:12 a. m.] Facu: Kevin $256.000 efectivo
‎[30/4/25, 6:26:11 p. m.] Facu: ‎<adjunto: 00000221-PHOTO-2025-04-30-18-26-11.jpg>
‎[2/5/25, 6:21:14 p. m.] Facu: Guille sueldo + comisiones saldado ‎<adjunto: 00000222-PHOTO-2025-05-02-18-21-14.jpg>
‎[2/5/25, 6:36:50 p. m.] Facu: Agus sueldo + comisiones saldado ‎<adjunto: 00000223-PHOTO-2025-05-02-18-36-50.jpg>
‎[5/5/25, 11:24:14 a. m.] Facu: ‎<adjunto: 00000224-PHOTO-2025-05-05-11-24-14.jpg>
[5/5/25, 11:24:14 a. m.] Facu: Mile salda abril
‎[5/5/25, 11:24:23 a. m.] Facu: ‎<adjunto: 00000226-PHOTO-2025-05-05-11-24-23.jpg>
[5/5/25, 11:24:23 a. m.] Facu: Bruno salda abril
‎[5/5/25, 11:24:39 a. m.] Facu: 110465432184.pdf • ‎1 página ‎<adjunto: 00000228-110465432184.pdf>
[5/5/25, 11:24:39 a. m.] Facu: Mercedes salda abril
‎[5/5/25, 12:53:24 p. m.] Facu: ‎<adjunto: 00000230-PHOTO-2025-05-05-12-53-24.jpg>
[7/5/25, 12:20:45 p. m.] Facu: Pagamos $74.067 de ABL con tarjeta de crédito 
Pagamos $23.006 de Metrogas con tarjeta de crédito 
Falta pagar Aysa y Edesur
‎[7/5/25, 12:20:54 p. m.] Facu: AySA Oficina Virtual.pdf • ‎5 páginas ‎<adjunto: 00000232-AySA Oficina Virtual.pdf>
[8/5/25, 12:29:50 p. m.] Achu: Chq 1817 a Nico
‎[9/5/25, 6:07:43 p. m.] Facu: Polimeros ‎<adjunto: 00000234-PHOTO-2025-05-09-18-07-43.jpg>
‎[12/5/25, 9:47:44 a. m.] Facu: Polimeros ‎<adjunto: 00000235-PHOTO-2025-05-12-09-47-44.jpg>
[12/5/25, 11:05:17 a. m.] Guido Avios: https://www.mercadopago.com.ar/checkout/v1/redirect?pref_id=1103025603-0f4efebb-fa8d-4f6e-8ad0-3cf4436e93bb
[12/5/25, 11:05:28 a. m.] Guido Avios: Queda pendiente pagar este saldo de Ivess
‎[12/5/25, 11:08:09 a. m.] Facu: comprobante_110883554297.pdf • ‎1 página ‎<adjunto: 00000238-comprobante_110883554297.pdf>
[12/5/25, 11:08:09 a. m.] Facu: Pago ives
‎[12/5/25, 11:47:26 a. m.] Facu: ‎<adjunto: 00000240-PHOTO-2025-05-12-11-47-26.jpg>
[12/5/25, 11:47:26 a. m.] Facu:  A a enteegae Carvi
‎[12/5/25, 12:05:06 p. m.] Guido Avios: 761876 _ 00147177512052025120322 (1).pdf • ‎1 página ‎<adjunto: 00000242-761876 _ 00147177512052025120322 (1).pdf>
[12/5/25, 1:10:16 p. m.] Facu: Hay que pagar el viernes $300.000 a Kevin de mkt
Lo anotas en el financiero @⁨Guido Avios⁩
‎[12/5/25, 3:16:37 p. m.] Facu: Flete ‎<adjunto: 00000244-PHOTO-2025-05-12-15-16-37.jpg>
‎[12/5/25, 4:13:38 p. m.] Facu: Totes ‎<adjunto: 00000245-PHOTO-2025-05-12-16-13-38.jpg>
‎[12/5/25, 4:23:37 p. m.] Facu: Auth_Download_Voucher_5648855.pdf • ‎1 página ‎<adjunto: 00000246-Auth_Download_Voucher_5648855.pdf>
